TIME,THERMOMETER_EXTERNAL,THERMOMETER23,HEATER23,SETPOINT23,THERMOMETER41,HEATER41,SETPOINT41,THERMOMETER31,HEATER31,SETPOINT31,THERMOMETER21,HEATER21,SETPOINT21,THERMOMETER11,HEATER11,SETPOINT11,THERMOMETER42,HEATER42,SETPOINT42,THERMOMETER32,HEATER32,SETPOINT32,THERMOMETER22,HEATER22,SETPOINT22,THERMOMETER12,HEATER12,SETPOINT12,THERMOMETER43,HEATER43,SETPOINT43,THERMOMETER33,HEATER33,SETPOINT33,THERMOMETER13,HEATER13,SETPOINT13,THERMOMETER44,HEATER44,SETPOINT44,THERMOMETER34,HEATER34,SETPOINT34,THERMOMETER24,HEATER24,SETPOINT24,THERMOMETER14,HEATER14,SETPOINT14
430,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
440,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
450,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
460,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
470,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
480,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
490,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
500,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
510,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
520,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
